%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
              7.5       -1.4911688            0.375       -1943.8774        2002397.6        -4674.775       -1.9458232         2004.402       -4.6794545    -0.0024451936        2.5188059    -0.0058803759          2002404        2004.4084        2.5188139 
             7.25       -1.4414632            0.375        1204.1982        2009230.3       -5348.9655        1.2054037        2011.2415       -5.3543198     0.0015147549        2.5274006    -0.0067284367        2009237.7         2011.249          2.52741 
                7       -1.3917576            0.375        406.66899          2009630       -4852.5844       0.40707607        2011.6416       -4.8574418    0.00051154688        2.5279034    -0.0061040414        2009635.9        2011.6476        2.5279109 
             7.75        -1.284062            0.375       -9116.8037          2009101       -2647.1163       -9.1259296        2011.1121       -2.6497661     -0.011467981         2.527238    -0.0033297942        2009123.4        2011.1345        2.5272662 
              7.5       -1.2426407            0.375       -3909.9379        2009685.8       -3925.0889       -3.9138517        2011.6974        -3.929018    -0.0049182911        2.5279736    -0.0049373496        2009693.4        2011.7051        2.5279832 
             7.25       -1.2012193            0.375       -1142.5913        2013135.1       -4378.1744       -1.1437351        2015.1502        -4.382557    -0.0014372599        2.5323124    -0.0055072835        2013140.2        2015.1553        2.5323188 
                7        -1.159798            0.375       -535.69117        2012337.6       -3996.9977       -0.5362274        2014.3519       -4.0009987   -0.00067384322        2.5313093    -0.0050278032        2012341.6         2014.356        2.5313144 
             7.75       -1.0272496            0.375       -7722.2303        2014468.1        -2198.883       -7.7299603        2016.4846       -2.2010841    -0.0097137546        2.5339893    -0.0027659639        2014484.1        2016.5006        2.5340094 
              7.5      -0.99411255            0.375       -4225.3963        2015239.4       -3147.8876        -4.229626        2017.2567       -3.1510386    -0.0053151047        2.5349595    -0.0039597119        2015246.3        2017.2636        2.5349682 
             7.25      -0.96097546            0.375       -1857.9593        2016520.8       -3452.5533       -1.8598191        2018.5393       -3.4560093    -0.0023371177        2.5365713    -0.0043429494        2016524.6        2018.5431        2.5365761 
                7      -0.92783838            0.375       -805.72792        2015633.1       -3162.8607      -0.80653445        2017.6507       -3.1660268    -0.0010135211        2.5354547    -0.0039785466        2015635.7        2017.6534         2.535458 
             7.75      -0.77043723            0.375       -5857.1925        2017809.6        -1669.822       -5.8630556        2019.8294       -1.6714934    -0.0073677329        2.5381925    -0.0021004606        2017818.8        2019.8386         2.538204 
              7.5      -0.74558441            0.375       -3636.4085          2019239       -2328.0586       -3.6400486        2021.2603        -2.330389      -0.00457422        2.5399906    -0.0029284532        2019243.6        2021.2649        2.5399964 
             7.25       -0.7207316            0.375       -1868.6967        2019404.2         -2550.14       -1.8705673        2021.4257       -2.5526927    -0.0023506241        2.5401984    -0.0032078083        2019406.7        2021.4281        2.5402015 
                7      -0.69587878            0.375       -748.28747        2018599.2       -2312.4183       -0.7490365        2020.6198        -2.314733   -0.00094126703        2.5391858    -0.0029087793        2018600.7        2020.6213        2.5391876 
             7.75      -0.51362482            0.375       -3859.5006        2019963.4       -1106.7591        -3.863364        2021.9854        -1.107867    -0.0048548464        2.5409018    -0.0013921867        2019967.4        2021.9894        2.5409068 
              7.5      -0.49705627            0.375       -2469.4674          2021804       -1522.8884       -2.4719394        2023.8278       -1.5244128    -0.0031063306         2.543217    -0.0019156337        2021806.1        2023.8299        2.5432197 
             7.25      -0.48048773            0.375       -1376.2765        2021536.5        -1636.107       -1.3776541          2023.56       -1.6377448    -0.0017312112        2.5428805    -0.0020580508        2021537.6        2023.5612        2.5428819 
