%           X (m)            Y (m)            Z (m)         RealPolX         RealPolY         RealPolZ
     0.0054166667     0.0032202209     0.0092028625        616.75358      0.059714245       0.14981415 
          0.00325     0.0032202209     0.0092028625        617.10236      0.048625294      0.085290703 
     0.0010833333     0.0032202209     0.0092028625        617.23786      0.053993498      0.015162751 
      0.018416667     0.0010916536      0.009688694        610.55895      0.065062849       0.55474501 
          0.01625     0.0010916536      0.009688694        611.99827       0.05510796       0.48744603 
      0.014083333     0.0010916536      0.009688694        613.25016      0.047645905       0.42071674 
      0.011916667     0.0010916536      0.009688694        614.31909      0.040105469       0.35474233 
          0.00975     0.0010916536      0.009688694        615.20718      0.032987906        0.2893567 
     0.0075833333     0.0010916536      0.009688694        615.91691      0.026462698       0.22442366 
     0.0054166667     0.0010916536      0.009688694        616.45168       0.02156674       0.15971167 
          0.00325     0.0010916536      0.009688694         616.8189      0.021547521      0.094736682 
     0.0010833333     0.0010916536      0.009688694        617.05029      0.044612335      0.027541231 

